mgrs_tile,eco_id,mgrs_tile_3
20NQG,570,20N
20NPH,570,20N
22NEF,570,22N
20NQL,570,20N
20NPJ,570,20N
20NQH,570,20N
20NRJ,570,20N
21NXB,570,21N
20NNK,570,20N
21NTF,570,21N
20NPL,570,20N
20NPN,570,20N
21NTC,570,21N
21NWB,570,21N
20NQJ,570,20N
20NRH,570,20N
20NQK,570,20N
20NRK,570,20N
21NXC,570,21N
20NNM,570,20N
20NPM,570,20N
21NWC,570,21N
21NTD,570,21N
20NRM,570,20N
20NQM,570,20N
20NNL,570,20N
22MDE,570,22M
22NDH,570,22N
22NDG,570,22N
20NRL,570,20N
20NPG,570,20N
21NYC,570,21N
22NEH,570,22N
22NDF,570,22N
20NPK,570,20N
22NEG,570,22N
21NYA,570,21N
21NTE,570,21N
20NNH,570,20N
21NXA,570,21N
21NYB,570,21N
20NQN,570,20N
51JVF,216,51J
50KMU,216,50K
51JWL,216,51J
50KNV,216,50K
50JLQ,216,50J
50KPU,216,50K
51KTP,216,51K
50JPP,216,50J
50KRV,216,50K
50KKU,216,50K
50JMS,216,50J
51JWN,216,51J
50JMQ,216,50J
51JUG,216,51J
51JWG,216,51J
50KKV,216,50K
51JVN,216,51J
50JMP,216,50J
50JMR,216,50J
50JPS,216,50J
50JNS,216,50J
51JTK,216,51J
50KNU,216,50K
51JVK,216,51J
51JWM,216,51J
50JQT,216,50J
51JTM,216,51J
50JPN,216,50J
50JQR,216,50J
51JVG,216,51J
50KQU,216,50K
50JNR,216,50J
50JRS,216,50J
51JUK,216,51J
51KTQ,216,51K
49KHQ,216,49K
50JQN,216,50J
51JUJ,216,51J
50JRT,216,50J
50JQS,216,50J
51JTN,216,51J
50JQP,216,50J
50JLT,216,50J
50JPR,216,50J
50KPV,216,50K
50JNP,216,50J
51JTL,216,51J
50KLU,216,50K
51JVM,216,51J
51JUM,216,51J
50JNT,216,50J
50JLS,216,50J
51JTG,216,51J
50JNQ,216,50J
50KLA,216,50K
50KRU,216,50K
51JVL,216,51J
50JNN,216,50J
50JPQ,216,50J
50JPT,216,50J
50JQM,216,50J
51JTH,216,51J
50KQV,216,50K
50JMT,216,50J
50KMV,216,50K
51JUH,216,51J
51JTJ,216,51J
51JUN,216,51J
51JVH,216,51J
50JQQ,216,50J
51JUF,216,51J
50KLV,216,50K
49KHP,216,49K
50JLR,216,50J
51JUL,216,51J
51JVJ,216,51J
50HMG,202,50H
50HLG,202,50H
50HLH,202,50H
50HMH,202,50H
50HNG,202,50H
16QCE,564,16Q
16QBE,564,16Q
16QBD,564,16Q
16QCD,564,16Q
39KUV,17,39K
39KTA,17,39K
39LUC,17,39L
39LUD,17,39L
39LUE,17,39L
39LTC,17,39L
38LRL,17,38L
38KRF,17,38K
39LVF,17,39L
39LVC,17,39L
39LTF,17,39L
38KQC,17,38K
38KQU,17,38K
38KPA,17,38K
38KRG,17,38K
38KQD,17,38K
38KPB,17,38K
38KRC,17,38K
38LRK,17,38L
38JPT,17,38J
38KRD,17,38K
38LQL,17,38L
38KQE,17,38K
38KPU,17,38K
39LTE,17,39L
38JQT,17,38J
39LTD,17,39L
39LVE,17,39L
39KUA,17,39K
38KRA,17,38K
39KTV,17,39K
39KTB,17,39K
39KUB,17,39K
39KTS,17,39K
38KQA,17,38K
38KQV,17,38K
39LUF,17,39L
39KTU,17,39K
38LQK,17,38L
38KRB,17,38K
39LVD,17,39L
39KTT,17,39K
38KPV,17,38K
38KQB,17,38K
39KTR,17,39K
38KRE,17,38K
14QPF,558,14Q
14PQC,558,14P
14QKF,558,14Q
14QQE,558,14Q
14QLE,558,14Q
14QMF,558,14Q
14QQD,558,14Q
14QPE,558,14Q
14QRD,558,14Q
13QGA,558,13Q
14QLD,558,14Q
14QNE,558,14Q
13QHV,558,13Q
15PTT,558,15P
14QMD,558,14Q
