system:index,ALL_ORBITS,MGRS_TILE,ORBITS_TO_KEEP,ORBIT_MEAN_NODATA_PERCENTAGE,.geo
0,"[111.0, 11.0]",19TCG,"[111.0, 11.0]","[3.8579089069767445, 55.23428345652172]","{""type"":""MultiPoint"",""coordinates"":[]}"
1,"[111.0, 11.0]",19TCH,"[111.0, 11.0]","[6.163302613636362, 29.519287673913038]","{""type"":""MultiPoint"",""coordinates"":[]}"
2,"[11.0, 111.0]",19TCJ,"[11.0, 111.0]","[6.471771955555554, 15.928707533333332]","{""type"":""MultiPoint"",""coordinates"":[]}"
3,"[11.0, 111.0]",19TCK,"[11.0, 111.0]","[5.459156891304347, 38.219283822222216]","{""type"":""MultiPoint"",""coordinates"":[]}"
4,"[11.0, 111.0]",19TCL,"[11.0, 111.0]","[4.126500644444444, 59.13567173333334]","{""type"":""MultiPoint"",""coordinates"":[]}"
5,"[11.0, 111.0, 54.0]",19TCM,"[11.0, 111.0]","[4.04957368888889, 81.48963311627905, 91.90679395454548]","{""type"":""MultiPoint"",""coordinates"":[]}"
6,"[11.0, 54.0]",19TCN,"[11.0, 54.0]","[1.8572451818181819, 62.97687376190476]","{""type"":""MultiPoint"",""coordinates"":[]}"
7,"[111.0, 11.0]",19TDJ,"[111.0, 11.0]","[5.828974636363637, 88.66442027272727]","{""type"":""MultiPoint"",""coordinates"":[]}"
8,"[111.0, 11.0]",19TDK,"[111.0, 11.0]","[4.437269295454546, 62.803322155555556]","{""type"":""MultiPoint"",""coordinates"":[]}"
9,"[111.0, 11.0]",19TDL,"[111.0, 11.0]","[4.223395088888889, 35.43528602272727]","{""type"":""MultiPoint"",""coordinates"":[]}"
10,"[111.0, 11.0]",19TDM,"[111.0, 11.0]","[4.263316155555556, 9.84959525]","{""type"":""MultiPoint"",""coordinates"":[]}"
11,"[11.0, 111.0]",19TDN,"[11.0, 111.0]","[5.883733217391304, 17.61862913333333]","{""type"":""MultiPoint"",""coordinates"":[]}"
12,"[111.0, 68.0, 11.0]",19TEM,"[111.0, 68.0]","[3.6813730888888894, 77.72762228260868, 95.41921479545454]","{""type"":""MultiPoint"",""coordinates"":[]}"
13,"[111.0, 11.0, 68.0]",19TEN,"[111.0, 11.0]","[2.1100659090909093, 72.23309168888889, 95.01234658536585]","{""type"":""MultiPoint"",""coordinates"":[]}"
14,"[11.0, 54.0]",19UCP,"[11.0, 54.0]","[4.636284488888888, 35.599701045454545]","{""type"":""MultiPoint"",""coordinates"":[]}"
15,"[11.0, 54.0]",19UCQ,"[11.0, 54.0]","[1.90347576744186, 13.396815466666668]","{""type"":""MultiPoint"",""coordinates"":[]}"
16,"[54.0, 11.0]",19UCR,"[54.0, 11.0]","[2.4497797906976744, 16.712398999999998]","{""type"":""MultiPoint"",""coordinates"":[]}"
17,"[54.0, 11.0, 97.0]",19UCS,"[54.0, 11.0]","[3.3741941590909095, 40.869264622222225, 97.80733726190476]","{""type"":""MultiPoint"",""coordinates"":[]}"
18,"[54.0, 11.0, 97.0]",19UCT,"[54.0, 11.0]","[3.5318665454545455, 63.77238347619048, 72.45470750000001]","{""type"":""MultiPoint"",""coordinates"":[]}"
19,"[54.0, 97.0, 11.0]",19UCU,"[54.0, 97.0]","[3.808145954545455, 43.656621978260866, 89.7663483488372]","{""type"":""MultiPoint"",""coordinates"":[]}"
20,"[54.0, 11.0, 97.0]",19UDA,"[54.0, 11.0]","[4.107170727272727, 52.32979127272727, 65.4589121627907]","{""type"":""MultiPoint"",""coordinates"":[]}"
21,"[54.0, 97.0, 11.0]",19UDB,"[54.0, 97.0]","[3.9174017727272727, 33.36127872093023, 75.93043571428571]","{""type"":""MultiPoint"",""coordinates"":[]}"
22,"[11.0, 111.0]",19UDP,"[11.0, 111.0]","[7.324605717391304, 39.198997840909094]","{""type"":""MultiPoint"",""coordinates"":[]}"
23,"[11.0, 111.0, 54.0]",19UDQ,"[11.0, 111.0]","[1.9071683720930233, 61.56838374418605, 92.51619895348837]","{""type"":""MultiPoint"",""coordinates"":[]}"
